First Name,Last Name,ORCID,Research Theme,Academic Rank,Practicing Clinician,Degrees
Shelin,Adam,0000-0002-4401-6157,Evidence to Innovation,Clinical Assistant Professor,,MSc  | Genetic Counsellor
Kourosh,Afshar,0000-0001-7491-0304,Evidence to Innovation,Associate Professor,Y,MD 
Sare,Akdag,,"Brain, Behaviour & Development",Clinical Assistant Professor,,PhD 
Ghada,Al-Rawahi,0000-0003-2719-9112,Evidence to Innovation,Clinical Associate Professor,,MD 
Susan,Albersheim,0000-0001-5754-463X,Healthy Starts,Clinical Professor,Y,MD | PhD  
Ariane,Alimenti,0000-0003-4999-8230,Childhood Diseases,Clinical Assistant Professor,Y,MD 
Christine,Alvarez,,Evidence to Innovation,Clinical Associate Professor,,MD   
Shazhan,Amed,0000-0001-5193-8582,Evidence to Innovation,Clinical Associate Professor,Y,MD  
Mark,Ansermino,0000-0001-8427-2035,Healthy Starts,Professor,Y,MD
Laura,Arbour,0000-0002-9589-0880,Childhood Diseases,Professor,Y,MD  
Linlea,Armstrong,0000-0002-8191-6429,Childhood Diseases,Clinical Associate Professor,Y,MD 
Kathryn,Armstrong,0000-0001-7058-3705,Evidence to Innovation,Clinical Assistant Professor,,MD 
Jugpal S,Arneja,0000-0002-5870-7039,Evidence to Innovation,Clinical Professor,Y,MD
Nicholas,Au,,Childhood Diseases,,Y,MD
Jehannine,Austin,0000-0003-0338-7055,"Brain, Behaviour & Development",Professor,,PhD
Vishal,Avinashi,0000-0003-4507-3425,Childhood Diseases,Clinical Assistant Professor,Y,MD
Shelina,Babul,0000-0002-0227-2574,Evidence to Innovation,Clinical Associate Professor,Y,PhD 
Susan,Baer,0000-0002-4627-9030,"Brain, Behaviour & Development",Clinical Assistant Professor,Y,MD
Robert,Baird,0000-0002-2013-1150,Evidence to Innovation,Clinical Associate Professor,,MD  
Vilte,Barakauskas,0000-0002-6909-0513,Healthy Starts,Clinical Assistant Professor,,PhD
Collin,Barker,0000-0002-0925-2728,Childhood Diseases,Clinical Associate Professor,,MD   
Alasdair,Barr,0000-0002-3407-1574,"Brain, Behaviour & Development",Associate Professor,N,PhD
Clare,Beasley,0000-0001-5919-7838,"Brain, Behaviour & Development",Associate Professor,,PhD
Mohamed Ali,Bedaiwy,0000-0002-3454-8555,Healthy Starts,Professor,,MD | PhD 
Susan M,Bennett,0000-0002-4155-1613,"Brain, Behaviour & Development",Adjunct Professor,,Psychologist
Alexander G,Beristain,0000-0002-1117-6242,Healthy Starts,Assistant Professor,,PhD 
Julie A,Bettinger,0000-0002-2118-4174,Healthy Starts,Associate Professor,,PhD
Catherine,Biggs,0000-0002-4363-2660,Healthy Starts,Clinical Assistant Professor,Y,MD
Patricia,Birch,0000-0003-3831-2344,Evidence to Innovation,Clinical Associate Professor,,MSc | RN
Bruce,Bjornson,0000-0002-1465-6196,"Brain, Behaviour & Development",Clinical Assistant Professor,Y,MD  
Alec,Black,0000-0002-2720-0382,Evidence to Innovation,Clinical Instructor,Y,MSc
Geoffrey,Blair,0000-0003-1960-8086,Evidence to Innovation,Clinical Professor,Y,MD  
Tom,Blydt-Hansen,0000-0002-8864-0197,Childhood Diseases,Associate Professor,Y,MD 
Cyrus,Boelman,0000-0001-9943-1561,Childhood Diseases,Clinical Assistant Professor,Y,MD 
Cornelius F.,Boerkoel,0000-0003-3097-241X,Childhood Diseases,Clinical Associate Professor,,MD | PhD 
Rollin,Brant,0000-0002-8026-2451,Evidence to Innovation,,,PhD
Heather,Bray,,Evidence to Innovation,Clinical Associate Professor,Y,MD 
Karla,Bretherick,0000-0002-6606-802X,Childhood Diseases,Clinical Assistant Professor,,PhD 
Sean,Bristol,,Childhood Diseases,Clinical Assistant Professor,Y,MD 
Lindsay,Brown,,Childhood Diseases,Clinical Associate Professor,,PhD 
Kelly,Brown,0000-0001-5385-3582,Childhood Diseases,Assistant Professor,,PhD 
Zoe,Brown,0000-0001-9408-8362,Evidence to Innovation,Clinical Assistant Professor,Y,MD
Mariana,Brussoni,0000-0002-1495-816X,Evidence to Innovation,Associate Professor,,PhD
Leah,Burgess,0000-0001-7461-2585,"Brain, Behaviour & Development",,Y,PhD 
Jonathan,Bush,0000-0001-9432-2390,Childhood Diseases,Clinical Assistant Professor,Y,MD  
Sonia,Butterworth,,Evidence to Innovation,Clinical Professor,Y,MD  
David A,Cabral,0000-0002-7424-5903,Childhood Diseases,Clinical Professor,Y,MD
Andrew I.M.,Campbell,0000-0001-7669-7965,Evidence to Innovation,Clinical Associate Professor,Y,MD  
Karen,Campbell,0000-0002-1552-577X,Evidence to Innovation,Clinical Associate Professor,,Dentist
Bruce,Carleton,0000-0002-4485-4054,Evidence to Innovation,Professor,Y,
Roxane,Carr,0000-0001-6801-1249,Evidence to Innovation,Assistant Professor,,PharmD
Linda,Casey,0000-0002-2085-0999,Healthy Starts,Clinical Associate Professor,Y,MD   
Michael,Castaldo,0000-0002-6736-6918,Healthy Starts,Clinical Instructor,Y,
Rosalind,Catchpole,0000-0003-3076-3001,"Brain, Behaviour & Development",Clinical Instructor,,
Neil K,Chadha,0000-0002-1417-2175,Evidence to Innovation,Clinical Associate Professor,Y,MD
Wee-Shian,Chan,0000-0002-2513-0480,Healthy Starts,Clinical Associate Professor,,MD   
Edmond S.,Chan,0000-0003-2947-1175,Childhood Diseases,Clinical Associate Professor,Y,MD  
Jean Pierre,Chanoine,0000-0002-5167-2064,Healthy Starts,,Y,
Andrea,Chapman,0000-0001-5844-2862,"Brain, Behaviour & Development",Clinical Associate Professor,,MD 
Sylvia,Cheng,0000-0002-4089-1739,Childhood Diseases,Clinical Assistant Professor,,MD  
Mark,Chilvers,,Childhood Diseases,Clinical Associate Professor,Y,MD
Christopher,Chin,0000-0001-8856-0827,Evidence to Innovation,Clinical Associate Professor,Y,MD
Katherine,Chipperfield,0000-0003-3607-1508,Childhood Diseases,Clinical Associate Professor,,MD  
Eva,Cho,0000-0001-9251-222X,Childhood Diseases,,Y,PharmD
Astrid,Christoffersen-Deb,0000-0002-3897-8907,Healthy Starts,,,
Lorne,Clarke,0000-0003-0512-7281,Childhood Diseases,Professor,Y,MD  
Jennifer,Coelho,0000-0001-9907-8067,"Brain, Behaviour & Development",Clinical Associate Professor,Y,PhD
Jean-Paul,Collet,0000-0001-9900-0403,"Brain, Behaviour & Development",Clinical Professor,Y,MD | PhD 
Elizabeth,Conibear,0000-0001-5129-0499,Childhood Diseases,Clinical Professor,,MD  
Mary B,Connolly,0000-0002-7784-942X,"Brain, Behaviour & Development",Clinical Professor,Y,MD
Anthony,Cooper,0000-0002-7864-2981,Evidence to Innovation,Clinical Assistant Professor,Y,MD  
Douglas J,Courtemanche,0000-0003-3720-9302,Evidence to Innovation,Clinical Professor,Y,MD  
Anita,Datta,0000-0001-7620-4868,"Brain, Behaviour & Development",Clinical Assistant Professor,Y,MD 
Jana,Davidson,0000-0001-9067-9798,"Brain, Behaviour & Development",Clinical Professor,Y,MD
Jeffrey,Davis,0000-0002-5959-7345,Childhood Diseases,Clinical Associate Professor,Y,MD 
Andy,De Souza,0000-0002-8495-9651,Childhood Diseases,Clinical Assistant Professor,,PhD 
Marie-France,Delisle,0000-0002-7045-3780,Healthy Starts,Clinical Associate Professor,Y,MD  
Michelle,Demos,,"Brain, Behaviour & Development",Clinical Assistant Professor,Y,MD  
Angela,Devlin,0000-0002-1390-6587,Healthy Starts,Associate Professor,,PhD 
Tammie,Dewan,0000-0002-2089-7738,Evidence to Innovation,Clinical Assistant Professor,Y,MD 
Rebecca,Deyell,0000-0003-3315-4383,Childhood Diseases,Clinical Assistant Professor,Y,MD
Amrit,Dhariwal,0000-0001-5724-5584,"Brain, Behaviour & Development",Clinical Assistant Professor,,PhD | Registered Psychologist
Janis,Dionne,0000-0003-4926-3218,Evidence to Innovation,Clinical Associate Professor,Y,MD  
David,Dix,0000-0002-1498-5555,Childhood Diseases,Clinical Professor,Y,MD  
Quynh,Doan,0000-0002-8435-7837,Evidence to Innovation,Associate Professor,Y,MD | PhD
Guy A.,Dumont,0000-0003-2048-4391,Healthy Starts,Professor,,PhD
Christopher,Dunham,0000-0002-6244-0584,Childhood Diseases,Clinical Associate Professor,Y,MD 
