Publications,Keywords
16,119
3,38
8,88
17,125
69,473
20,289
8,112
4,37
13,42
22,212
10,60
4,13
28,288
3,39
44,407
6,49
11,93
27,256
10,92
8,71
16,60
1,17
23,204
12,92
23,264
25,303
7,38
20,232
3,42
56,639
1,0
2,0
14,134
7,68
30,266
24,215
2,28
1,10
6,44
9,31
7,53
6,69
21,160
8,41
13,67
7,104
1,0
4,53
4,36
18,205
9,81
4,0
13,171
22,272
23,122
40,240
8,112
5,77
23,238
5,15
3,22
35,348
9,64
24,231
1,17
8,78
26,291
26,235
15,178
34,501
19,220
17,166
27,293
81,815
1,0
13,35
3,55
10,90
18,174
18,182
23,300
9,66
4,50
67,753
3,49
4,51
22,220
31,310
54,605
2,27
21,302
99,652
82,769
42,261
14,162
9,50
12,156
21,241
4,36
21,207
41,525
7,77
28,396
48,681
2,26
38,319
11,101
50,467
10,79
4,73
3,13
13,148
61,596
3,32
5,35
16,171
25,281
6,95
8,112
9,60
16,118
3,14
1,15
13,143
35,331
6,60
7,66
4,24
16,178
20,167
30,271
42,191
15,114
14,102
32,223
35,337
55,676
17,196
26,306
5,78
1,14
25,240
14,158
7,55
1,9
8,34
44,422
15,33
5,65
4,35
3,26
37,255
37,359
13,127
11,110
4,33
17,57
28,240
53,569
10,152
46,353
54,620
6,76
6,32
12,116
2,31
3,32
35,468
3,14
5,55
13,138
13,107
7,67
9,78
16,174
20,206
18,169
19,191
13,117
2,12
4,27
23,224
13,142
23,263
8,111
53,640
23,253
3,38
9,116
10,89
17,240
14,182
3,25
22,227
107,1079
13,108
12,87
13,129
17,217
5,22
4,9
4,44
53,539
2,19
3,29
5,18
2,16
23,226
13,130
29,279
17,136
3,36
96,1062
14,58
7,68
2,20
31,365
4,28
15,166
3,18
3,17
5,28
3,35
11,103
6,42
26,266
60,706
2,10
7,65
63,690
2,0
4,32
5,64
12,102
18,43
2,12
2,0
2,13
7,39
10,113
9,75
2,21
5,45
5,65
14,126
5,55
17,197
11,116
26,333
7,63
16,198
1,10
20,242
2,30
10,134
1,25
2,8
2,12
16,216
3,48
6,76
2,7
7,72
12,96
7,77
13,150
5,61
7,93
7,86
4,65
4,40
23,265
25,174
5,50
9,112
1,15
29,366
24,326
1,9
8,119
42,358
33,502
9,69
17,174
16,219
22,211
12,160
18,190
1,4
12,143
64,867
14,168
6,70
48,652
1,10
29,290
3,47
1,0
1,13
9,132
8,53
1,18
12,166
11,89
48,545
17,223
6,65
2,29
5,51
1,13
8,103
1,15
1,9
13,162
3,34
9,122
16,191
2,15
30,366
6,61
5,29
14,196
2,30
3,45
13,153
19,263
16,192
14,134
1,18
26,306
8,74
15,141
2,33
2,7
23,319
16,193
10,121
8,50
2,26
13,166
3,40
