PI Name,Num Publications,PubMed Publication,PubMed Publication (keywords >= 5),PubMed Main Author Publications,Num Keywords,Main Branch Keywords,Main Author Keywords,Main Author Main Branch Keywords
All PI,3537,3454,2777,2291,36939,32367,24449,21541
Shelin Adam,16,16,9,7,119,103,69,61
Ghada Al-Rawahi,3,3,3,0,38,35,0,0
Ariane Alimenti,8,8,6,1,88,74,11,9
Shazhan Amed,17,13,12,11,125,106,100,85
Mark Ansermino,69,47,36,23,473,404,234,201
Laura Arbour,20,20,19,10,289,245,140,118
Linlea Armstrong,8,8,7,3,112,100,31,29
Kathryn Armstrong,4,4,3,2,37,34,12,10
Jugpal S Arneja,13,12,5,10,42,37,32,27
Jehannine Austin,22,22,19,20,212,182,199,170
Vishal Avinashi,10,6,5,4,60,54,28,26
Shelina Babul,4,3,2,3,13,12,13,12
Robert Baird,28,26,24,16,288,252,161,140
Vilte Barakauskas,3,3,3,3,39,34,39,34
Alasdair Barr,44,40,31,19,407,354,181,165
Clare Beasley,6,6,4,4,49,43,34,30
Alexander G Beristain,11,8,7,8,93,86,93,86
Julie A Bettinger,27,23,18,12,256,211,113,91
Catherine Biggs,10,10,7,5,92,84,57,52
Patricia Birch,8,8,5,6,71,61,46,40
Bruce Bjornson,16,14,4,2,60,52,35,30
Alec Black,1,1,1,1,17,15,17,15
Tom Blydt-Hansen,23,20,13,8,204,174,100,88
Cyrus Boelman,12,10,8,2,92,81,16,15
Cornelius F. Boerkoel,23,23,18,13,264,250,173,163
Rollin Brant,25,23,22,9,303,262,114,102
Kelly Brown,7,7,4,4,38,36,20,19
Mariana Brussoni,20,16,14,14,232,192,196,164
Jonathan Bush,3,3,3,3,42,34,42,34
Bruce Carleton,56,56,46,36,639,565,403,354
Roxane Carr,1,1,0,1,0,0,0,0
Rosalind Catchpole,2,1,0,1,0,0,0,0
Neil K Chadha,14,12,11,10,134,112,105,90
Wee-Shian Chan,7,6,6,3,68,59,25,21
Edmond S. Chan,30,30,24,14,266,229,97,87
Jean Pierre Chanoine,24,24,17,8,215,180,66,58
Sylvia Cheng,2,2,2,2,28,26,28,26
Katherine Chipperfield,1,1,1,1,10,8,10,8
Lorne Clarke,6,6,5,5,44,42,32,30
Jennifer Coelho,9,7,2,4,31,28,31,28
Jean-Paul Collet,7,6,4,6,53,43,53,43
Elizabeth Conibear,6,6,6,6,69,69,69,69
Mary B Connolly,21,20,11,7,160,143,95,84
Anthony Cooper,8,4,4,4,41,36,41,36
Douglas J Courtemanche,13,12,6,6,67,53,30,25
Anita Datta,7,7,7,4,104,93,61,53
Jana Davidson,1,1,0,0,0,0,0,0
Jeffrey Davis,4,4,4,1,53,49,13,13
Marie-France Delisle,4,4,3,2,36,32,23,20
Angela Devlin,18,15,13,8,205,179,111,97
Rebecca Deyell,9,8,6,4,81,74,54,49
Amrit Dhariwal,4,0,0,0,0,0,0,0
Janis Dionne,13,13,12,3,171,145,33,30
David Dix,22,21,19,7,272,229,68,58
Quynh Doan,23,22,9,19,122,99,105,85
Guy A. Dumont,40,24,19,16,240,210,155,135
Christopher Dunham,8,8,8,3,112,99,37,31
Allison Eddy,5,5,4,1,77,66,12,11
Rajavel Elango,23,22,20,18,238,214,212,192
Dean Elbe,5,3,2,3,15,14,15,14
Paul Enarson,3,3,2,2,22,16,12,9
Jan Friedman,35,34,26,23,348,310,236,209
Sanjiv K Gandhi,9,9,7,7,64,54,52,45
Soren Gantt,24,23,16,20,231,206,198,178
Arvindera Ghag,1,1,1,0,17,15,0,0
Deborah Eileen Giaschi,8,8,6,6,78,66,78,66
William T. Gibson,26,26,22,14,291,262,155,140
David Goldfarb,26,22,16,15,235,194,148,122
Daniel Goldowitz,15,15,13,10,178,170,115,109
Ruth Eckstein Grunau,34,34,34,14,501,433,201,177
Jaime Guzman,19,19,15,12,220,181,168,138
Matthias Görges,17,17,13,13,166,146,125,107
Kevin C Harris,27,27,23,22,293,257,239,212
Michael Hayden,81,69,57,43,815,758,539,503
Erika Henkelman,1,1,0,1,0,0,0,0
Kyla Hildebrand,13,8,4,5,35,31,15,13
Bradford Hoffman,3,3,3,2,55,54,36,35
Liisa Holsti,10,10,9,9,90,83,82,75
Gabriela Ana Horvath,18,18,13,11,174,153,118,105
Kristin Houghton,18,16,12,1,182,153,18,15
Juliette Hukin,23,20,20,8,300,260,111,96
Derek Human,9,9,5,2,66,57,24,20
Brenden Hursh,4,4,4,3,50,43,37,32
Jennifer Hutcheon,67,64,58,46,753,656,532,458
Sally Hynes,3,3,3,1,49,44,15,13
Osman Ipsiroglu,4,4,4,1,51,47,16,14
Kevan Jacobson,22,19,15,8,220,195,104,91
Patricia Janssen,31,30,23,19,310,261,165,139
K.S. Joseph,54,54,46,41,605,516,429,360
Benjamin Jung,2,2,2,0,27,21,0,0
Crystal Karakochuk,21,21,18,17,302,263,247,217
Niranjan Kissoon,99,91,57,45,652,581,350,321
Michael Steffen Kobor,82,75,55,35,769,670,439,385
Tobias R Kollmann,42,39,21,17,261,230,140,127
Frederick K. Kozak,14,14,13,10,162,136,113,98
Pei Yoong Lam,9,6,4,2,50,44,12,10
Yvonne Lamers,12,12,11,9,156,129,104,84
Donna Lang,21,21,19,10,241,201,86,73
Philipp Lange,4,4,3,0,36,36,0,0
Pascal Lavoie,21,19,16,13,207,187,129,119
Blair R Leavitt,41,41,33,12,525,471,144,137
Anna Lee,7,6,5,1,77,72,13,12
Anna Lehman,28,28,25,10,396,349,128,115
Peter C.K. Leung,48,48,45,40,681,635,580,546
Lise A. Leveille,2,2,2,1,26,24,7,7
Megan Levings,38,29,24,21,319,300,226,216
Chinten James Lim,11,9,8,6,101,101,71,71
Sarka Lisonkova,50,43,34,29,467,410,330,291
Roslyn Livingstone,10,8,7,7,79,71,60,56
Dan S Luciani,4,4,4,1,73,69,19,17
Jeffrey Ludemann,3,2,1,0,13,11,0,0
Francis Lynn,13,11,11,8,148,145,105,102
Laura Magee,61,60,41,25,596,522,317,284
Janet Mah,3,2,2,1,32,28,19,17
Stephan Malherbe,5,3,2,2,35,29,19,16
Cherry Mammen,16,16,11,7,171,149,100,85
Louise C Masse,25,25,19,18,281,209,218,165
Douglas Matsell,6,6,6,4,95,86,61,57
Allison Matthews,8,8,7,1,112,102,16,15
Christopher Maxwell,9,9,5,8,60,58,60,58
Patrick McDonald,16,15,10,10,118,94,71,57
Deborah E McFadden,3,3,2,1,14,12,0,0
Maggie McIlwaine,1,1,1,1,15,15,15,15
Robert J McMahon,13,12,11,8,143,114,104,81
Garth Meckler,35,30,24,20,331,276,235,202
Daniel L Metzger,6,6,4,4,60,51,33,28
Anton R Miller,7,6,5,6,66,54,66,54
Stacey D. Miller,4,2,2,2,24,21,24,21
Kimberly Morishita,16,13,10,2,178,150,31,28
Sara Mostafavi,20,20,13,5,167,152,54,52
Kishore Mulpuri,30,29,23,21,271,235,219,190
Srinivas Murthy,42,35,16,8,191,169,71,64
Tanya Nelson,15,15,9,1,114,99,0,0
Tonia Nicholls,14,10,8,8,102,70,84,61
Wendy V. Norman,32,30,20,19,223,178,139,110
Tim Oberlander,35,28,25,22,337,294,244,215
Gina Ogilvie,55,55,48,29,676,585,330,289
Constadina Panagiotopoulos,17,15,13,12,196,174,166,148
William Panenka,26,26,23,13,306,255,117,96
Millan Patel,5,5,5,3,78,74,44,41
Erika Penner,1,1,1,1,14,10,14,10
Ian Pike,25,21,18,17,240,191,186,148
Hannah Piper,14,12,11,12,158,137,158,137
Benjamin Pliska,7,7,5,6,55,50,37,34
Oana-Eugenia Popescu,1,1,1,1,9,8,9,8
Elodie Portales-Casamar,8,6,3,3,34,32,10,8
Ric Procyshyn,44,38,33,20,422,358,186,161
Nadine Provencal,15,8,3,2,33,31,15,15
Evica Rajcan-Separovic,5,5,4,4,65,61,55,51
Bojana Rakic,4,4,2,0,35,32,0,0
Manon Ranger,3,2,2,2,26,24,26,24
Rod Rassekh,37,25,21,7,255,227,69,61
Alexander Rauscher,37,36,31,18,359,308,164,142
Jonathan Rayment,13,13,12,10,127,112,106,95
Gregor Reid,11,11,8,8,110,107,92,90
Urs Ribary,4,4,3,2,33,31,8,8
